ISO,COUNTRY,2019INDEP,2020INDEP,2019ELECT,2020ELECT,2019AUSCORR,2020AUSCORR,2019PAR,2020PAR,2019IDH,2020IDH,PERCOR_2020.y.x,PERCOR_2019.y.x,2019LEG,2020LEG,DES2019,DES2020,COUNTRY.x.y,PERCOR_2020.y.y,PERCOR_2019.y.y,INFLACION_2019,INFLACION_2020
HND,Honduras,0.453660295345314,0.455337410494025,0.792424811829241,0.792424811829241,0.251934128984144,0.260560191221076,0.247,0.246,0.632,0.621,24,26,6.9,7,5.69999980926514,8.3730001449585,Honduras,24,26,4.36587159819272,3.46841177951168
HRV,Croatia,0.592148470860453,0.620544600060024,1,1,0.551913390222694,0.551913390222694,0.524,0.533,0.86,0.854,47,47,2.3,2.2,6.61999988555908,7.51000022888184,Croatia,47,47,0.771820346498083,0.154811374562028
HTI,Haiti,0.320453075775314,0.334206619133369,0.596809139715221,0.596809139715221,0.230094794853553,0.295284425441366,0.233,0.215,0.543,0.54,18,18,8.8,9.1,13.914999961853,15.451000213623,Haiti,18,18,18.7037825672506,22.7963113642528
HUN,Hungary,0.551898102677492,0.542489940079578,1,1,0.506902634805902,0.505191686545562,0.317,0.317,0.852,0.848,44,44,6.4,6.1,3.42000007629395,4.25,Hungary,44,44,3.3385863538201,3.3267438576673
IDN,Indonesia,0.567058345870176,0.549544797919464,1,1,0.311003423909931,0.270514626517457,0.411,0.4,0.715,0.708,37,40,4.5,4.2,3.61999988555908,4.28000020980835,Indonesia,37,40,3.03058664969491,1.92096800566845
IND,India,0.556166578960677,0.543499903555315,0.888593521750256,0.888593521750256,0.458010473627102,0.446300757146808,0.283,0.266,0.645,0.642,40,41,4.1,4,5.26999998092651,7.99700021743774,India,40,41,3.72950573539126,6.62343677628532
IRL,Ireland,0.833735451295754,0.833735451295754,1,1,0.78107670048087,0.78107670048087,0.634,0.643,0.941,0.942,72,74,0.7,0.4,4.94999980926514,5.61999988555908,Ireland,72,74,0.939044481054341,-0.334584625428444
IRQ,Iraq,0.436272075505364,0.377172376868319,0.596809139715221,0.596809139715221,0.254131207850116,0.245812261927148,0.261,0.24,0.695,0.679,21,20,8.9,9.1,12.8629999160767,14.0880002975464,Iraq,21,20,-0.198965380023871,0.574162679425838
ISL,Iceland,0.79892167785686,0.79892167785686,0.932146459280028,0.932146459280028,0.850708155305407,0.850708155305407,0.638,0.626,0.96,0.956,75,78,1,0.7,3.50999999046326,5.48000001907349,Iceland,75,78,3.01397179156056,2.84792401518658
ITA,Italy,0.656533626524193,0.656533626524193,0.888593521750256,0.888593521750256,0.649334660052657,0.649334660052657,0.678,0.682,0.897,0.889,53,53,3.4,3.1,9.94999980926514,9.15999984741211,Italy,53,53,0.611246943765291,-0.13770757391657
JAM,Jamaica,0.72543972694065,0.730186469350041,1,1,0.647221138236471,0.625554217567384,0.559,0.548,0.718,0.712,44,43,4.2,3.9,7.69000005722046,9.47999954223633,Jamaica,44,43,3.90510000865876,5.22677779293517
JOR,Jordan,0.471217728962394,0.477230686159503,0.403613814208192,0.403613814208192,0.482885419666126,0.482885419666126,0.126,0.124,0.726,0.722,49,48,6,6,16.8099994659424,19.0259990692139,Jordan,49,48,0.761514047265513,0.33329435062843
JPN,Japan,0.584809957035675,0.566650607777249,1,1,0.707060795580647,0.707060795580647,0.545,0.542,0.924,0.923,74,73,0.9,0.6,2.40000009536743,2.79999995231628,Japan,74,73,0.468776159383912,-0.0249958340276592
